date,鼻水_trend,prefecture
2020-05-23,19.889397406559876,Hokkaido
2020-05-24,0.0,Hokkaido
2020-05-25,26.465730420019185,Hokkaido
2020-05-26,27.267722250928863,Hokkaido
2020-05-27,17.643820280012793,Hokkaido
2020-05-28,0.0,Hokkaido
2020-05-29,8.821910140006397,Hokkaido
2020-05-30,19.247803941832135,Hokkaido
2020-05-31,8.89463734951746,Hokkaido
2020-06-01,17.048054919908466,Hokkaido
2020-06-02,0.0,Hokkaido
2020-06-03,8.89463734951746,Hokkaido
2020-06-04,8.153417570391005,Hokkaido
2020-06-05,8.153417570391005,Hokkaido
2020-06-06,0.0,Hokkaido
2020-06-07,40.21592442645074,Hokkaido
2020-06-08,0.0,Hokkaido
2020-06-09,19.233702986563394,Hokkaido
2020-06-10,0.0,Hokkaido
2020-06-11,10.491110719943672,Hokkaido
2020-06-12,20.982221439887343,Hokkaido
2020-06-13,0.0,Hokkaido
2020-06-14,11.681074667344689,Hokkaido
2020-06-15,11.681074667344689,Hokkaido
2020-06-16,0.0,Hokkaido
2020-06-17,11.681074667344689,Hokkaido
2020-06-18,35.043224002034066,Hokkaido
2020-06-19,11.681074667344689,Hokkaido
2020-06-20,23.362149334689377,Hokkaido
2020-06-21,9.47114162217137,Hokkaido
2020-06-22,18.94228324434274,Hokkaido
2020-06-23,9.47114162217137,Hokkaido
2020-06-24,0.0,Hokkaido
2020-06-25,19.73154504619035,Hokkaido
2020-06-26,0.0,Hokkaido
2020-06-27,27.624163064666497,Hokkaido
2020-06-28,15.080971659919024,Hokkaido
2020-06-29,7.868333039957753,Hokkaido
2020-06-30,7.868333039957753,Hokkaido
2020-07-01,15.736666079915507,Hokkaido
2020-07-02,30.817637739834534,Hokkaido
2020-07-03,0.0,Hokkaido
2020-07-04,7.868333039957753,Hokkaido
2020-07-05,32.04706477732794,Hokkaido
2020-07-06,0.0,Hokkaido
2020-07-07,15.709345479082323,Hokkaido
2020-07-08,0.0,Hokkaido
2020-07-09,16.96609311740891,Hokkaido
2020-07-10,57.81039136302294,Hokkaido
2020-07-11,8.168859649122808,Hokkaido
2020-07-12,54.8553059667803,Hokkaido
2020-07-13,10.804832993456726,Hokkaido
2020-07-14,33.24563997986685,Hokkaido
2020-07-15,11.635973992953396,Hokkaido
2020-07-16,11.635973992953396,Hokkaido
2020-07-17,0.0,Hokkaido
2020-07-18,0.0,Hokkaido
2020-07-19,29.12972969508169,Hokkaido
2020-07-20,49.52054048163888,Hokkaido
2020-07-21,0.0,Hokkaido
2020-07-22,9.46716215090155,Hokkaido
2020-07-23,18.9343243018031,Hokkaido
2020-07-24,46.60756751213071,Hokkaido
2020-07-25,19.662567544180146,Hokkaido
2020-07-26,37.884566488685486,Hokkaido
2020-07-27,12.312484108822783,Hokkaido
2020-07-28,24.624968217645566,Hokkaido
2020-07-29,0.0,Hokkaido
2020-07-30,0.0,Hokkaido
2020-07-31,12.312484108822783,Hokkaido
2020-08-01,12.312484108822783,Hokkaido
2020-08-02,0.0,Hokkaido
2020-08-03,48.302822273073986,Hokkaido
2020-08-04,48.302822273073986,Hokkaido
2020-08-05,0.0,Hokkaido
2020-08-06,0.0,Hokkaido
2020-08-07,0.0,Hokkaido
2020-08-08,0.0,Hokkaido
2020-08-09,0.0,Hokkaido
2020-08-10,0.0,Hokkaido
2020-08-11,0.0,Hokkaido
2020-08-12,0.0,Hokkaido
2020-08-13,0.0,Hokkaido
2020-08-14,85.24027459954233,Hokkaido
2020-08-15,0.0,Hokkaido
2020-08-16,28.225789041923928,Hokkaido
2020-08-17,28.949527222486076,Hokkaido
2020-08-18,10.132334527870126,Hokkaido
2020-08-19,9.408596347307975,Hokkaido
2020-08-20,0.0,Hokkaido
2020-08-21,0.0,Hokkaido
2020-08-22,0.0,Hokkaido
2020-08-23,11.637827445325643,Hokkaido
2020-08-24,0.0,Hokkaido
2020-08-25,24.170872386445566,Hokkaido
2020-08-26,24.170872386445566,Hokkaido
2020-08-27,24.170872386445566,Hokkaido
2020-08-28,23.275654890651285,Hokkaido
2020-08-29,23.275654890651285,Hokkaido
2020-08-30,17.995169082125603,Hokkaido
2020-08-31,8.997584541062801,Hokkaido
2020-09-01,8.997584541062801,Hokkaido
2020-09-02,0.0,Hokkaido
2020-09-03,8.997584541062801,Hokkaido
2020-09-04,0.0,Hokkaido
2020-09-05,8.997584541062801,Hokkaido
2020-09-06,12.246641947813034,Hokkaido
2020-09-07,6.123320973906517,Hokkaido
2020-09-08,12.717666638113535,Hokkaido
2020-09-09,18.84098761202005,Hokkaido
2020-09-10,6.123320973906517,Hokkaido
2020-09-11,12.717666638113535,Hokkaido
2020-09-12,19.312012302320554,Hokkaido
2020-09-13,32.52203278148423,Hokkaido
2020-09-14,7.977102380364057,Hokkaido
2020-09-15,33.13565604151223,Hokkaido
2020-09-16,0.0,Hokkaido
2020-09-17,15.954204760728114,Hokkaido
2020-09-18,32.52203278148423,Hokkaido
2020-09-19,8.59072564039206,Hokkaido
2020-09-20,12.131418166045973,Hokkaido
2020-09-21,12.131418166045973,Hokkaido
2020-09-22,12.131418166045973,Hokkaido
2020-09-23,50.39204468972943,Hokkaido
2020-09-24,13.064604178818742,Hokkaido
2020-09-25,65.3230208940937,Hokkaido
2020-09-26,25.196022344864716,Hokkaido
2020-09-27,9.234363081617087,Hokkaido
2020-09-28,9.944698703279938,Hokkaido
2020-09-29,0.0,Hokkaido
2020-09-30,29.834096109839813,Hokkaido
2020-10-01,9.944698703279938,Hokkaido
2020-10-02,0.0,Hokkaido
2020-10-03,9.234363081617087,Hokkaido
2020-10-04,8.593611357586513,Hokkaido
2020-10-05,9.254658385093167,Hokkaido
2020-10-06,19.17036379769299,Hokkaido
2020-10-07,37.67968056787932,Hokkaido
2020-10-08,9.254658385093167,Hokkaido
2020-10-09,29.74711623779947,Hokkaido
2020-10-10,48.2564330079858,Hokkaido
2020-10-11,18.78443088397322,Hokkaido
2020-10-12,44.72483543803148,Hokkaido
2020-10-13,0.0,Hokkaido
2020-10-14,6.70872531570472,Hokkaido
2020-10-15,6.70872531570472,Hokkaido
2020-10-16,6.70872531570472,Hokkaido
