date,prefecture,raw_daily,raw_weekly,suicide_harmonized_daily
2017.02.13,Aichi,100,65,41.585686
2017.02.14,Aichi,43,65,17.881844
2017.02.15,Aichi,42,65,17.465986
2017.02.16,Aichi,46,65,19.129414
2017.02.17,Aichi,26,65,10.812278
2017.02.18,Aichi,45,65,18.713558
2017.02.19,Aichi,35,39,14.566228
2017.02.19,Aichi,50,39,20.808899
2017.02.20,Aichi,40,39,16.647118
2017.02.21,Aichi,26,39,10.820627
2017.02.22,Aichi,32,39,13.317695
2017.02.23,Aichi,27,39,11.236805
2017.02.24,Aichi,24,39,9.9882708
2017.02.25,Aichi,25,39,10.404449
2017.02.26,Aichi,27,41,11.331779
2017.02.26,Aichi,52,41,21.824165
2017.02.27,Aichi,19,41,7.9742141
2017.02.28,Aichi,27,41,11.331779
2017.03.01,Aichi,33,41,13.849951
2017.03.02,Aichi,42,41,17.627211
2017.03.03,Aichi,34,41,14.269647
2017.03.04,Aichi,36,41,15.109038
2017.03.05,Aichi,56,44,23.242739
2017.03.05,Aichi,36,44,14.941761
2017.03.06,Aichi,42,44,17.432055
2017.03.07,Aichi,36,44,14.941761
2017.03.08,Aichi,39,44,16.186909
2017.03.09,Aichi,30,44,12.451468
2017.03.10,Aichi,25,44,10.376223
2017.03.11,Aichi,29,44,12.036419
2017.03.12,Aichi,32,36,13.723936
2017.03.12,Aichi,45,36,19.299286
2017.03.13,Aichi,26,36,11.150698
2017.03.14,Aichi,16,36,6.861968
2017.03.15,Aichi,33,36,14.152809
2017.03.16,Aichi,42,36,18.012667
2017.03.17,Aichi,15,36,6.4330955
2017.03.18,Aichi,23,36,9.8640795
2017.03.19,Aichi,55,43,22.233
2017.03.19,Aichi,37,43,14.956745
2017.03.20,Aichi,22,43,8.893199
2017.03.21,Aichi,32,43,12.935562
2017.03.22,Aichi,33,43,13.339799
2017.03.23,Aichi,37,43,14.956745
2017.03.24,Aichi,37,43,14.956745
2017.03.25,Aichi,41,43,16.57369
2017.03.26,Aichi,51,40,21.276419
2017.03.26,Aichi,35,40,14.601463
2017.03.27,Aichi,37,40,15.435832
2017.03.28,Aichi,22,40,9.1780624
2017.03.29,Aichi,32,40,13.34991
2017.03.30,Aichi,40,40,16.687387
2017.03.31,Aichi,18,40,7.5093241
2017.04.01,Aichi,30,40,12.515541
2017.04.02,Aichi,42,33,17.817181
2017.04.02,Aichi,24,33,10.181246
2017.04.03,Aichi,25,33,10.605465
2017.04.04,Aichi,18,33,7.6359344
2017.04.05,Aichi,21,33,8.9085903
2017.04.06,Aichi,26,33,11.029683
2017.04.07,Aichi,22,33,9.3328085
2017.04.08,Aichi,37,33,15.696087
2017.04.09,Aichi,46,36,18.912947
2017.04.09,Aichi,16,36,6.5784163
2017.04.10,Aichi,34,36,13.979135
2017.04.11,Aichi,29,36,11.923379
2017.04.12,Aichi,36,36,14.801436
2017.04.13,Aichi,19,36,7.8118691
2017.04.14,Aichi,32,36,13.156833
2017.04.15,Aichi,30,36,12.334531
2017.04.16,Aichi,46,36,19.150347
2017.04.16,Aichi,20,36,8.3262377
2017.04.17,Aichi,28,36,11.656733
2017.04.18,Aichi,38,36,15.819852
2017.04.19,Aichi,23,36,9.5751734
2017.04.20,Aichi,25,36,10.407797
2017.04.21,Aichi,32,36,13.32198
2017.04.22,Aichi,27,36,11.240421
2017.04.23,Aichi,50,39,20.728865
2017.04.23,Aichi,25,39,10.364432
2017.04.24,Aichi,37,39,15.339359
2017.04.25,Aichi,36,39,14.924782
2017.04.26,Aichi,25,39,10.364432
2017.04.27,Aichi,23,39,9.5352774
2017.04.28,Aichi,41,39,16.997667
2017.04.29,Aichi,23,39,9.5352774
2017.04.30,Aichi,59,46,24.4335
2017.04.30,Aichi,29,46,12.009686
2017.05.01,Aichi,20,46,8.2825422
2017.05.02,Aichi,27,46,11.181433
2017.05.03,Aichi,23,46,9.5249243
2017.05.04,Aichi,38,46,15.736832
2017.05.05,Aichi,72,46,29.817154
2017.05.06,Aichi,39,46,16.150959
2017.05.07,Aichi,49,43,21.023207
2017.05.07,Aichi,54,43,23.168432
2017.05.08,Aichi,55,43,23.597477
2017.05.09,Aichi,8,43,3.4323604
2017.05.10,Aichi,22,43,9.4389906
2017.05.11,Aichi,29,43,12.442307
2017.05.12,Aichi,32,43,13.729442
2017.05.13,Aichi,28,43,12.013261
2017.05.14,Aichi,20,39,8.4211006
2017.05.14,Aichi,49,39,20.631697
2017.05.15,Aichi,41,39,17.263256
2017.05.16,Aichi,35,39,14.736926
2017.05.17,Aichi,23,39,9.6842661
2017.05.18,Aichi,27,39,11.368485
2017.05.19,Aichi,36,39,15.157981
2017.05.20,Aichi,25,39,10.526376
2017.05.21,Aichi,20,35,8.5605927
2017.05.21,Aichi,45,35,19.261333
2017.05.22,Aichi,37,35,15.837096
2017.05.23,Aichi,27,35,11.5568
2017.05.24,Aichi,23,35,9.8446817
2017.05.25,Aichi,32,35,13.696948
2017.05.26,Aichi,27,35,11.5568
2017.05.27,Aichi,15,35,6.420445
2017.05.28,Aichi,59,46,24.593721
2017.05.28,Aichi,31,46,12.922124
2017.05.29,Aichi,30,46,12.50528
2017.05.30,Aichi,31,46,12.922124
2017.05.31,Aichi,53,46,22.092663
2017.06.01,Aichi,47,46,19.591608
2017.06.02,Aichi,17,46,7.0863266
2017.06.03,Aichi,37,46,15.423181
2017.06.04,Aichi,59,47,24.964663
2017.06.04,Aichi,35,47,14.809546
2017.06.05,Aichi,33,47,13.963285
2017.06.06,Aichi,47,47,19.887104
2017.06.07,Aichi,37,47,15.655806
2017.06.08,Aichi,39,47,16.502064
2017.06.09,Aichi,30,47,12.693895
2017.06.10,Aichi,27,47,11.424506
2017.06.11,Aichi,53,42,22.453745
2017.06.11,Aichi,32,42,13.556979
2017.06.12,Aichi,32,42,13.556979
2017.06.13,Aichi,23,42,9.7440786
2017.06.14,Aichi,25,42,10.59139
2017.06.15,Aichi,43,42,18.21719
2017.06.16,Aichi,44,42,18.640846
2017.06.17,Aichi,22,42,9.3204231
2017.06.18,Aichi,34,39,14.543107
2017.06.18,Aichi,49,39,20.959185
2017.06.19,Aichi,24,39,10.265723
2017.06.20,Aichi,33,39,14.115369
2017.06.21,Aichi,17,39,7.2715535
2017.06.22,Aichi,23,39,9.837985
2017.06.23,Aichi,39,39,16.681801
2017.06.24,Aichi,33,39,14.115369
2017.06.25,Aichi,41,32,16.710457
2017.06.25,Aichi,23,32,9.3741589
2017.06.26,Aichi,31,32,12.634736
2017.06.27,Aichi,42,32,17.118029
2017.06.28,Aichi,28,32,11.412019
2017.06.29,Aichi,16,32,6.5211539
2017.06.30,Aichi,14,32,5.7060094
2017.07.01,Aichi,22,32,8.9665861
2017.07.02,Aichi,36,28,23.43956
2017.07.02,Aichi,12,28,7.8131871
2017.07.03,Aichi,15,28,9.7664843
2017.07.03,Aichi,15,28,9.7664843
2017.07.04,Aichi,13,28,8.4642859
2017.07.04,Aichi,13,28,8.4642859
2017.07.05,Aichi,13,28,8.4642859
2017.07.05,Aichi,13,28,8.4642859
2017.07.06,Aichi,17,28,11.068682
2017.07.06,Aichi,17,28,11.068682
2017.07.07,Aichi,14,28,9.1153851
2017.07.07,Aichi,14,28,9.1153851
2017.07.08,Aichi,8,28,5.2087913
2017.07.08,Aichi,8,28,5.2087913
2017.07.09,Aichi,17,36,12.649922
2017.07.09,Aichi,17,36,12.649922
2017.07.10,Aichi,18,36,13.394035
2017.07.10,Aichi,18,36,13.394035
2017.07.11,Aichi,16,36,11.905809
2017.07.11,Aichi,16,36,11.905809
