date,raw_daily,raw_weekly,anxietydrug1_harmonized_daily
2017.06.26,53,55,46.797577
2017.06.27,36,55,31.787031
2017.06.28,55,55,48.563519
2017.06.29,27,55,23.840273
2017.06.30,64,55,56.510277
2017.07.01,18,55,15.893516
2017.07.02,51,61,50.12915
2017.07.03,25,61,24.573112
2017.07.04,40,61,39.316978
2017.07.05,0,61,0
2017.07.06,50,61,49.146225
2017.07.07,43,61,42.265751
2017.07.08,61,61,59.958393
2017.07.09,17,43,17.866993
2017.07.10,25,43,26.274988
2017.07.11,25,43,26.274988
2017.07.12,17,43,17.866993
2017.07.13,68,43,71.467972
2017.07.14,17,43,17.866993
2017.07.15,9,43,9.4589958
2017.07.16,26,43,27.325987
2017.07.17,50,43,52.549976
2017.07.18,0,43,0
2017.07.19,34,43,35.733986
2017.07.20,25,43,26.274988
2017.07.21,8,43,8.4079962
2017.07.22,35,43,36.784985
2017.07.23,25,49,24.788584
2017.07.24,33,49,32.720928
2017.07.25,33,49,32.720928
2017.07.26,16,49,15.864694
2017.07.27,40,49,39.661732
2017.07.28,25,49,24.788584
2017.07.29,43,49,42.636364
2017.07.30,26,36,26.272308
2017.07.31,16,36,16.167574
2017.08.01,47,36,47.492249
2017.08.02,0,36,0
2017.08.03,24,36,24.251362
2017.08.04,16,36,16.167574
2017.08.05,26,36,26.272308
2017.08.06,25,37,25.152191
2017.08.07,37,37,37.225243
2017.08.08,8,37,8.0487013
2017.08.09,24,37,24.146103
2017.08.10,24,37,24.146103
2017.08.11,25,37,25.152191
2017.08.12,17,37,17.103489
2017.08.13,43,55,39.272087
2017.08.14,40,55,36.532173
2017.08.15,24,55,21.919304
2017.08.16,24,55,21.919304
2017.08.17,31,55,28.312433
2017.08.18,24,55,21.919304
2017.08.19,76,55,69.411125
2017.08.20,42,52,37.116474
2017.08.21,16,52,14.139609
2017.08.22,32,52,28.279219
2017.08.23,24,52,21.209414
2017.08.24,57,52,50.372356
2017.08.25,8,52,7.0698047
2017.08.26,77,52,68.046867
2017.08.27,9,54,8.7735081
2017.08.28,41,54,39.968204
2017.08.29,33,54,32.169533
2017.08.30,49,54,47.76688
2017.08.31,41,54,39.968204
2017.09.01,51,54,49.716549
2017.09.02,17,54,16.572184
2017.09.03,68,77,68
2017.09.04,33,77,33
2017.09.05,100,77,100
2017.09.06,50,77,50
2017.09.07,33,77,33
2017.09.08,34,77,34
2017.09.09,17,77,17
2017.09.10,42,64,43.313129
2017.09.11,40,64,41.250599
2017.09.12,32,64,33.000481
2017.09.13,49,64,50.531986
2017.09.14,32,64,33.000481
2017.09.15,42,64,43.313129
2017.09.16,33,64,34.031746
2017.09.17,15,56,14.618181
2017.09.18,17,56,16.567272
2017.09.19,33,56,32.16
2017.09.20,0,56,0
2017.09.21,75,56,73.090904
2017.09.22,59,56,57.49818
2017.09.23,51,56,49.701817
2017.09.24,34,45,32.470699
2017.09.25,33,45,31.51568
2017.09.26,42,45,40.110863
2017.09.27,8,45,7.6401644
2017.09.28,17,45,16.23535
2017.09.29,44,45,42.020905
2017.09.30,27,45,25.785555
2017.10.01,25,33,23.770103
2017.10.02,16,33,15.212867
2017.10.03,25,33,23.770103
2017.10.04,17,33,16.163671
2017.10.05,17,33,16.163671
2017.10.06,34,33,32.327343
2017.10.07,17,33,16.163671
2017.10.08,26,63,25.360725
2017.10.09,49,63,47.795216
2017.10.10,41,63,39.991913
2017.10.11,33,63,32.188614
2017.10.12,65,63,63.401814
2017.10.13,42,63,40.967327
2017.10.14,25,63,24.385315
2017.10.15,17,50,16.219524
2017.10.16,50,50,47.704483
2017.10.17,42,50,40.071766
2017.10.18,52,50,49.612663
2017.10.19,17,50,16.219524
2017.10.20,25,50,23.852242
2017.10.21,25,50,23.852242
2017.10.22,21,40,22.420523
2017.10.23,24,40,25.623453
2017.10.24,17,40,18.149946
2017.10.25,34,40,36.299892
2017.10.26,34,40,36.299892
2017.10.27,25,40,26.691099
2017.10.28,8,40,8.541152
2017.10.29,40,59,39.642982
2017.10.30,8,59,7.9285965
2017.10.31,53,59,52.526951
2017.11.01,35,59,34.687611
2017.11.02,26,59,25.767941
2017.11.03,44,59,43.607281
