raw_daily,raw_weekly,prefecture,date,pollen_harmonized_daily
46,2,Aichi,2019.08.04,2.604378
31,2,Aichi,2019.08.05,1.7551242
39,2,Aichi,2019.08.06,2.2080595
15,2,Aichi,2019.08.07,.84925371
8,2,Aichi,2019.08.08,.45293531
23,2,Aichi,2019.08.09,1.302189
39,2,Aichi,2019.08.10,2.2080595
8,1,Aichi,2019.08.11,.29179484
0,1,Aichi,2019.08.12,0
30,1,Aichi,2019.08.13,1.0942305
34,1,Aichi,2019.08.14,1.240128
33,1,Aichi,2019.08.15,1.2036537
36,1,Aichi,2019.08.16,1.3130767
15,1,Aichi,2019.08.17,.54711527
36,2,Aichi,2019.08.18,1.5940855
15,2,Aichi,2019.08.19,.66420227
29,2,Aichi,2019.08.20,1.2841244
37,2,Aichi,2019.08.21,1.6383656
37,2,Aichi,2019.08.22,1.6383656
58,2,Aichi,2019.08.23,2.5682487
45,2,Aichi,2019.08.24,1.9926069
53,2,Aichi,2019.08.25,2.2174263
44,2,Aichi,2019.08.26,1.8408822
59,2,Aichi,2019.08.27,2.4684558
29,2,Aichi,2019.08.28,1.2133087
30,2,Aichi,2019.08.29,1.255147
28,2,Aichi,2019.08.30,1.1714705
29,2,Aichi,2019.08.31,1.2133087
43,2,Aichi,2019.09.01,1.9973059
67,2,Aichi,2019.09.02,3.1120815
31,2,Aichi,2019.09.03,1.4399183
15,2,Aichi,2019.09.04,.69673467
23,2,Aichi,2019.09.05,1.0683265
30,2,Aichi,2019.09.06,1.3934693
36,2,Aichi,2019.09.07,1.6721632
35,2,Aichi,2019.09.08,1.486194
22,2,Aichi,2019.09.09,.93417901
38,2,Aichi,2019.09.10,1.613582
23,2,Aichi,2019.09.11,.97664171
52,2,Aichi,2019.09.12,2.2080595
61,2,Aichi,2019.09.13,2.5902238
37,2,Aichi,2019.09.14,1.5711193
7,3,Aichi,2019.09.15,.36099693
36,3,Aichi,2019.09.16,1.8565558
60,3,Aichi,2019.09.17,3.0942595
30,3,Aichi,2019.09.18,1.5471298
77,3,Aichi,2019.09.19,3.9709663
99,3,Aichi,2019.09.20,5.1055284
22,3,Aichi,2019.09.21,1.1345618
20,2,Aichi,2019.09.22,.7318328
35,2,Aichi,2019.09.23,1.2807074
