date,prefecture,raw_daily,raw_weekly,medication_harmonized_daily
2017.09.29,Aichi,21,7,2.1822317
2017.09.30,Aichi,65,7,6.7545271
2017.10.01,Aichi,21,6,2.5038757
2017.10.02,Aichi,20,6,2.3846438
2017.10.03,Aichi,42,6,5.0077515
2017.10.04,Aichi,64,6,7.6308599
2017.10.05,Aichi,0,6,0
2017.10.06,Aichi,21,6,2.5038757
2017.10.07,Aichi,21,6,2.5038757
2017.10.08,Aichi,0,8,0
2017.10.09,Aichi,20,8,2.4527764
2017.10.10,Aichi,0,8,0
2017.10.11,Aichi,62,8,7.6036067
2017.10.12,Aichi,81,8,9.9337444
2017.10.13,Aichi,0,8,0
2017.10.14,Aichi,82,8,10.056383
2017.10.15,Aichi,21,4,2.1461794
2017.10.16,Aichi,21,4,2.1461794
2017.10.17,Aichi,64,4,6.5407372
2017.10.18,Aichi,0,4,0
2017.10.19,Aichi,21,4,2.1461794
2017.10.20,Aichi,0,4,0
2017.10.21,Aichi,20,4,2.0439804
