date,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2018.02.07,42,34,10.152558
2018.02.08,53,34,12.811562
2018.02.09,22,34,5.3180065
2018.02.10,16,34,3.8676412
2018.02.11,26,29,6.3276863
2018.02.12,26,29,6.3276863
2018.02.13,53,29,12.898745
2018.02.14,42,29,10.221647
2018.02.15,59,29,14.35898
2018.02.16,38,29,9.2481565
2018.02.17,11,29,2.677098
2018.02.18,32,43,8.0675068
2018.02.19,43,43,10.840712
2018.02.20,58,43,14.622356
2018.02.21,47,43,11.84915
2018.02.22,59,43,14.874466
2018.02.23,54,43,13.613918
2018.02.24,72,43,18.15189
2018.02.25,27,34,6.4622369
2018.02.26,54,34,12.924474
2018.02.27,42,34,10.052368
2018.02.28,48,34,11.488421
2018.03.01,47,34,11.24908
2018.03.02,59,34,14.121184
2018.03.03,27,34,6.4622369
2018.03.04,32,33,8.0421352
2018.03.05,45,33,11.309252
2018.03.06,42,33,10.555303
2018.03.07,47,33,11.811885
2018.03.08,31,33,7.7908182
2018.03.09,52,33,13.068469
2018.03.10,32,33,8.0421352
2018.03.11,21,40,5.3981981
2018.03.12,58,40,14.909308
2018.03.13,63,40,16.194593
2018.03.14,37,40,9.5111103
2018.03.15,68,40,17.479879
2018.03.16,47,40,12.081681
2018.03.17,39,40,10.025225
2018.03.18,16,39,3.9624927
2018.03.19,52,39,12.8781
2018.03.20,57,39,14.11638
2018.03.21,47,39,11.639822
2018.03.22,57,39,14.11638
2018.03.23,64,39,15.849971
2018.03.24,44,39,10.896854
2018.03.25,44,35,10.876568
2018.03.26,52,35,12.854125
2018.03.27,31,35,7.6630363
2018.03.28,42,35,10.382178
2018.03.29,69,35,17.056435
2018.03.30,32,35,7.9102311
2018.03.31,33,35,8.1574259
2018.04.01,54,36,14.102237
2018.04.02,32,36,8.3568811
2018.04.03,63,36,16.45261
2018.04.04,36,36,9.4014921
2018.04.05,21,36,5.4842033
2018.04.06,57,36,14.885695
2018.04.07,32,36,8.3568811
2018.04.08,32,39,7.6306281
2018.04.09,76,39,18.122742
2018.04.10,76,39,18.122742
