date,prefecture,raw_daily,raw_weekly,mask_harmonized_daily
2017.08.29,Aichi,44,40,37.694492
2017.08.30,Aichi,42,40,35.981106
2017.08.31,Aichi,41,40,35.124413
2017.09.01,Aichi,28,40,23.987404
2017.09.02,Aichi,34,40,29.12756
2017.09.03,Aichi,23,41,19.070337
2017.09.04,Aichi,22,41,18.241192
2017.09.05,Aichi,72,41,59.698444
2017.09.06,Aichi,37,41,30.678366
2017.09.07,Aichi,54,41,44.773834
2017.09.08,Aichi,37,41,30.678366
2017.09.09,Aichi,24,41,19.899481
2017.09.10,Aichi,26,40,23.092247
2017.09.11,Aichi,33,40,29.309389
2017.09.12,Aichi,35,40,31.085714
2017.09.13,Aichi,41,40,36.414696
2017.09.14,Aichi,38,40,33.750206
2017.09.15,Aichi,38,40,33.750206
2017.09.16,Aichi,34,40,30.197552
2017.09.17,Aichi,48,51,40.72514
2017.09.18,Aichi,59,51,50.05798
2017.09.19,Aichi,83,51,70.420547
2017.09.20,Aichi,49,51,41.573578
2017.09.21,Aichi,30,51,25.453211
2017.09.22,Aichi,26,51,22.05945
2017.09.23,Aichi,32,51,27.150091
2017.09.24,Aichi,35,47,29.730232
2017.09.25,Aichi,49,47,41.62233
2017.09.26,Aichi,47,47,39.923454
2017.09.27,Aichi,37,47,31.429106
2017.09.28,Aichi,39,47,33.127975
2017.09.29,Aichi,36,47,30.57967
2017.09.30,Aichi,58,47,49.267246
2017.10.01,Aichi,42,48,34.271999
2017.10.02,Aichi,30,48,24.48
2017.10.03,Aichi,38,48,31.007999
2017.10.04,Aichi,68,48,55.487995
2017.10.05,Aichi,30,48,24.48
2017.10.06,Aichi,67,48,54.672001
2017.10.07,Aichi,45,48,36.719997
2017.10.08,Aichi,31,42,27.453024
2017.10.09,Aichi,45,42,39.851162
2017.10.10,Aichi,39,42,34.537674
2017.10.11,Aichi,40,42,35.423256
2017.10.12,Aichi,50,42,44.279068
2017.10.13,Aichi,20,42,17.711628
2017.10.14,Aichi,33,42,29.224184
